    PIXMEM       TIME       SIZE 
   2995200   0.002010    2073600  
  52948480   0.046668   36656640  
  47923200   0.038113   33177600  
   7488000   0.005998    5184000  
     72800   0.000082      50400  
   2772800   0.001900    1920000  
   1275476   0.000976     883600  
   2772800   0.001995    1920000  
   2772800   0.002585    1920000  
     94436   0.000228      65536  
     69486   0.000089      48174  
    130000   0.000129      90000  
    507960   0.000434     351900  
    443520   0.000368     307200  
    377744   0.000362     262144  
    443520   0.000341     307200  
    377744   0.000596     262144  
