    PIXMEM       TIME       SIZE     
  82574640   0.256155    2073600  
1464633234   7.592505   36656640  
1326365280   4.495810   33177600  
 206744400   0.630900    5184000  
   1958544   0.006066      50400  
  76252800   0.239860    1920000  
  35022520   0.120070     883600  
  76389600   0.231761    1920000  
  76389600   0.233682    1920000  
   2533888   0.007549      65536  
   1852746   0.005356      48174  
   3497400   0.010251      90000  
  13918680   0.042849     351900  
  12123840   0.036964     307200  
  10310656   0.033575     262144  
  12123840   0.037387     307200  
  10310656   0.033028     262144  



