    PIXMEM       TIME       SIZE 
   8409600   0.020638    2073600  
 148661760   0.342732   36656640  
 134553600   0.336693   33177600  
  21024000   0.052986    5184000  
    204400   0.001151      50400  
   7786400   0.018134    1920000  
   3583072   0.009217     883600  
   7786400   0.019620    1920000  
   7786400   0.019645    1920000  
    265672   0.000911      65536  
    195360   0.000559      48174  
    365000   0.000920      90000  
   1426904   0.003355     351900  
   1245760   0.002972     307200  
   1063026   0.002568     262144  
   1245760   0.002896     307200  
   1063026   0.002813     262144  
