    PIXMEM       TIME       SIZE 
   4850300   0.011073    2073600  
3137422796   5.395652   36656640  
  77840134   0.175007   33177600  
  12104836   0.027596    5184000  
    118432   0.000368      50400  
   4489412   0.010374    1920000  
   2064886   0.004349     883600  
   4487984   0.009044    1920000  
   4494460   0.010226    1920000  
    153578   0.000335      65536  
    629466   0.001104      48174  
    550618   0.000993      90000  
  23136710   0.042488     351900  
    718936   0.001480     307200  
    619396   0.001271     262144  
    719764   0.001440     307200  
    613880   0.001555     262144  
